Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Concerto_64_decoder_0.0,0.0,0.0,0.5,0.8272264162699382,1.0,-3.405979701450893e-07,0.4596255487114626,0.002540345975723804,0.9999999999999848,0.4924331108178402,0.3318066040674845,0.3960572067676268
Concerto_64_decoder_0.1,0.0,0.0,0.5,0.8272264162699382,1.0,-3.405979701450893e-07,0.4617194953758452,0.002540345975723804,0.9999999999999848,0.4928519001507167,0.3318066040674845,0.3962247225007774
Concerto_64_encoder_0.0,0.509511851097944,0.22194283829643005,0.4988602939993143,0.9942463477452596,0.95068824,0.2997372831617083,0.28154905972863226,0.7514422456927969,0.05373450063561955,0.4674302664262099,0.556140332784737,0.5206563062413261
Concerto_64_encoder_0.1,0.5090860969391212,0.22550220826032788,0.5028518056496978,0.9950079838434855,0.9522673,0.30171871185302734,0.2365396115457761,0.7550451186780237,0.08876261199670882,0.4668666686470436,0.558112023673158,0.5216138816627123
Concerto_8_decoder_0.0,0.0,0.0,0.5,0.8272264321645101,1.0,-3.746577671595982e-07,0.461781398477153,0.002540345975723804,0.9999999999999902,0.49286427395902,0.3318066080411275,0.3962296744082845
Concerto_8_decoder_0.1,0.0,0.0,0.5,0.8272264321645101,1.0,-3.746577671595982e-07,0.4600736010893784,0.002540345975723804,0.9999999999999902,0.49252271448146506,0.3318066080411275,0.3960930506172625
Concerto_8_encoder_0.0,0.6047307548583569,0.28467510920508576,0.5043797129765153,0.9981927990913391,0.93786794,0.27964234352111816,0.24061917515165634,0.7656375576997605,0,0.44475340316894674,0.5979945940328242,0.5366981176872732
Concerto_8_encoder_0.1,0.6016820121543357,0.27160317698453207,0.508199761621654,0.998431388537089,0.9381863,0.27695352690560476,0.2362645836474458,0.764380588884822,0,0.44315699746356324,0.5949790848244028,0.534250249880067
Unintegrated,0.5333656802915322,0.25630490658208566,0.4703630767762661,0.9981838981310527,0.83670783,0.17325479643685476,0.23616537230566467,0.7757149660137874,0.4969897283803302,0.5037665387131428,0.5645543904452341,0.5402392497523976
Unintegrated_HVG_only,0.7108179538175137,0.3636593816316745,0.5739626958966255,0.999999984105428,0.9375225,0.15623303822108678,0.16290944924065678,0.8514700284489981,1.6043632457299144e-05,0.4216302060988559,0.6621100038628104,0.5659180847572286
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
